K,C,P,T,rf,S,sigmaCall,sigmaPut
1220,239.2,0.35,0.0821917808219178,0.005,1462.42,0.204217,0.292673
1225,234.2,0.3,0.0821917808219178,0.005,1462.42,0.199104,0.28507
1230,229.3,0.4,0.0821917808219178,0.005,1462.42,0.259629,0.284388
1240,219.3,0.45,0.0821917808219178,0.005,1462.42,0.221164,0.275765
1250,209.4,0.5,0.0821917808219178,0.005,1462.42,0.226564,0.268209
1260,199.5,0.65,0.0821917808219178,0.005,1462.42,0.226604,0.261369
1270,189.6,0.75,0.0821917808219178,0.005,1462.42,0.223899,0.253857
1275,184.6,0.8,0.0821917808219178,0.005,1462.42,0.218316,0.24988
1280,179.7,0.9,0.0821917808219178,0.005,1462.42,0.219439,0.246748
1290,169.8,0.9,0.0821917808219178,0.005,1462.42,0.216329,0.237171
1300,160,1.1,0.0821917808219178,0.005,1462.42,0.213612,0.229744
1310,150.1,1.25,0.0821917808219178,0.005,1462.42,0.205415,0.222323
1320,140.4,1.5,0.0821917808219178,0.005,1462.42,0.203016,0.215413
1325,135.5,1.65,0.0821917808219178,0.005,1462.42,0.19959,0.212492
1330,130.6,1.7,0.0821917808219178,0.005,1462.42,0.195913,0.207565
1340,120.9,2.2,0.0821917808219178,0.005,1462.42,0.1902,0.202901
1350,111.3,2.5,0.0821917808219178,0.005,1462.42,0.18414,0.194897
1360,101.8,2.9,0.0821917808219178,0.005,1462.42,0.180132,0.188263
1370,92.4,3.5,0.0821917808219178,0.005,1462.42,0.17486,0.181295
1375,87.8,3.9,0.0821917808219178,0.005,1462.42,0.172207,0.178871
1380,83.2,4.2,0.0821917808219178,0.005,1462.42,0.169687,0.17533
1390,74.1,5.1,0.0821917808219178,0.005,1462.42,0.163652,0.169184
1400,65.2,6.2,0.0821917808219178,0.005,1462.42,0.158106,0.163019
1410,56.6,7.5,0.0821917808219178,0.005,1462.42,0.153322,0.15644
1420,48.3,9.2,0.0821917808219178,0.005,1462.42,0.147056,0.150652
1425,44.4,10.1,0.0821917808219178,0.005,1462.42,0.14513,0.147467
1430,40.5,11.3,0.0821917808219178,0.005,1462.42,0.142369,0.144963
1440,33.1,13.8,0.0821917808219178,0.005,1462.42,0.137051,0.139151
1450,26.3,17,0.0821917808219178,0.005,1462.42,0.131596,0.133917
1460,20.2,20.8,0.0821917808219178,0.005,1462.42,0.126039,0.12863
1470,14.9,25.4,0.0821917808219178,0.005,1462.42,0.121027,0.123672
1475,12.6,28,0.0821917808219178,0.005,1462.42,0.118936,0.121336
1480,10.5,30.8,0.0821917808219178,0.005,1462.42,0.116114,0.11894
1490,7,37.2,0.0821917808219178,0.005,1462.42,0.112134,0.114948
1500,4.4,44.4,0.0821917808219178,0.005,1462.42,0.107907,0.11172
1510,2.65,52.6,0.0821917808219178,0.005,1462.42,0.106006,0.109985
1520,1.55,61.5,0.0821917808219178,0.005,1462.42,0.104553,0.111194
1525,1.2,66.1,0.0821917808219178,0.005,1462.42,0.105453,0.11182
1530,1,70.9,0.0821917808219178,0.005,1462.42,0.106696,0.113901
1540,0.65,80.5,0.0821917808219178,0.005,1462.42,0.109865,0.117913
1550,0.4,90.2,0.0821917808219178,0.005,1462.42,0.112716,0.121639
1560,0,100,0.0821917808219178,0.005,1462.42,0.108687,0.125945
1575,0,114.5,0.0821917808219178,0.005,1462.42,0.118383,0.132723
1600,0,139.4,0.0821917808219178,0.005,1462.42,0.134515,0.150272
1625,0,164.4,0.0821917808219178,0.005,1462.42,0.154249,0.172053
1650,0,189.4,0.0821917808219178,0.005,1462.42,0.16581,0.193202
1150,303.7,0.05,0.0849315068493151,0.005,1457.15,0.309445,0.310882
1175,278.8,0.05,0.0849315068493151,0.005,1457.15,0.269948,0.284994
1200,253.8,0,0.0849315068493151,0.005,1457.15,0.256212,0.259481
1210,243.9,0.05,0.0849315068493151,0.005,1457.15,0.261923,0.270264
1220,233.9,0.1,0.0849315068493151,0.005,1457.15,0.251183,0.262126
1225,228.9,0.1,0.0849315068493151,0.005,1457.15,0.245837,0.259161
1230,223.9,0.1,0.0849315068493151,0.005,1457.15,0.240507,0.253731
1240,214,0.15,0.0849315068493151,0.005,1457.15,0.249236,0.247208
1250,204,0.2,0.0849315068493151,0.005,1457.15,0.241751,0.240083
1260,194.1,0.25,0.0849315068493151,0.005,1457.15,0.226949,0.232453
1270,184.2,0.35,0.0849315068493151,0.005,1457.15,0.222505,0.225856
1275,179.2,0.35,0.0849315068493151,0.005,1457.15,0.219808,0.221608
1280,174.3,0.45,0.0849315068493151,0.005,1457.15,0.216849,0.219846
1290,164.4,0.65,0.0849315068493151,0.005,1457.15,0.210252,0.215142
1300,154.5,0.65,0.0849315068493151,0.005,1457.15,0.202891,0.206363
1310,144.6,0.8,0.0849315068493151,0.005,1457.15,0.196689,0.199774
1320,134.8,1.05,0.0849315068493151,0.005,1457.15,0.191053,0.194488
1325,129.9,1.1,0.0849315068493151,0.005,1457.15,0.187774,0.190333
1330,125.1,1.35,0.0849315068493151,0.005,1457.15,0.186825,0.18854
1340,115.4,1.65,0.0849315068493151,0.005,1457.15,0.180946,0.18247
1350,105.8,1.9,0.0849315068493151,0.005,1457.15,0.177503,0.175602
1360,96.3,2.4,0.0849315068493151,0.005,1457.15,0.169604,0.1704
1370,86.9,3,0.0849315068493151,0.005,1457.15,0.164165,0.164879
1375,82.7,3.4,0.0849315068493151,0.005,1457.15,0.164597,0.162722
1380,78.1,3.8,0.0849315068493151,0.005,1457.15,0.161728,0.159991
1390,69.1,4.7,0.0849315068493151,0.005,1457.15,0.156592,0.154582
1400,60.4,5.9,0.0849315068493151,0.005,1457.15,0.151516,0.149313
1410,52,7.4,0.0849315068493151,0.005,1457.15,0.146423,0.144076
1420,44.1,9.4,0.0849315068493151,0.005,1457.15,0.141553,0.139819
1425,40.1,10.4,0.0849315068493151,0.005,1457.15,0.138842,0.136843
1430,36.5,11.7,0.0849315068493151,0.005,1457.15,0.136661,0.134749
1440,29.1,14.5,0.0849315068493151,0.005,1457.15,0.129644,0.129429
1450,22.7,18.1,0.0849315068493151,0.005,1457.15,0.12501,0.124815
1460,17.3,22.4,0.0849315068493151,0.005,1457.15,0.120778,0.120294
1470,12.4,27.6,0.0849315068493151,0.005,1457.15,0.116195,0.116332
1475,10.3,30.4,0.0849315068493151,0.005,1457.15,0.113933,0.114736
1480,8.7,33.5,0.0849315068493151,0.005,1457.15,0.113268,0.112745
1490,5.7,40.4,0.0849315068493151,0.005,1457.15,0.109505,0.108114
1500,3.6,48.2,0.0849315068493151,0.005,1457.15,0.107356,0.104671
1510,2.15,56.8,0.0849315068493151,0.005,1457.15,0.105665,0.104775
1520,1.2,65.9,0.0849315068493151,0.005,1457.15,0.104847,0.104105
1525,0.9,70.6,0.0849315068493151,0.005,1457.15,0.105129,0.104278
1530,0.65,75.3,0.0849315068493151,0.005,1457.15,0.105233,0.104245
1540,0.3,85,0.0849315068493151,0.005,1457.15,0.105707,0.106087
1550,0.05,94.8,0.0849315068493151,0.005,1457.15,0.105824,0.105199
1560,0,104.7,0.0849315068493151,0.005,1457.15,0.110299,0.107834
1150,307.9,0.05,0.0821917808219178,0.005,1461.02,0.361364,0.319368
1175,283,0.05,0.0821917808219178,0.005,1461.02,0.331797,0.302427
1200,258.1,0.05,0.0821917808219178,0.005,1461.02,0.307108,0.279569
1210,248.1,0.05,0.0821917808219178,0.005,1461.02,0.299461,0.268903
1220,238.1,0.05,0.0821917808219178,0.005,1461.02,0.287752,0.261543
1225,231.9,0.15,0.0821917808219178,0.005,1461.02,0.203431,0.264616
1230,228.2,0.15,0.0821917808219178,0.005,1461.02,0.282988,0.259143
1240,218.2,0.15,0.0821917808219178,0.005,1461.02,0.279981,0.250609
1250,208.3,0.2,0.0821917808219178,0.005,1461.02,0.270537,0.243928
1260,198.3,0.25,0.0821917808219178,0.005,1461.02,0.260867,0.236642
1270,188.4,0.35,0.0821917808219178,0.005,1461.02,0.246392,0.230454
1275,183.4,0.4,0.0821917808219178,0.005,1461.02,0.242674,0.227792
1280,178.5,0.4,0.0821917808219178,0.005,1461.02,0.238798,0.222066
1290,168.6,0.55,0.0821917808219178,0.005,1461.02,0.23062,0.217083
1300,158.7,0.65,0.0821917808219178,0.005,1461.02,0.218322,0.21092
1310,148.8,0.8,0.0821917808219178,0.005,1461.02,0.214352,0.203819
1320,139,0.95,0.0821917808219178,0.005,1461.02,0.207441,0.197555
1325,134.1,1.1,0.0821917808219178,0.005,1461.02,0.20363,0.195131
1330,129.2,1.2,0.0821917808219178,0.005,1461.02,0.199603,0.191636
1340,119.5,1.45,0.0821917808219178,0.005,1461.02,0.193127,0.185106
1350,109.8,1.8,0.0821917808219178,0.005,1461.02,0.187338,0.179491
1360,100.3,2.2,0.0821917808219178,0.005,1461.02,0.181719,0.17328
1370,90.8,2.7,0.0821917808219178,0.005,1461.02,0.169423,0.167907
1375,86.1,3.1,0.0821917808219178,0.005,1461.02,0.166278,0.166273
