K,C,P,T,rf,S,sigmaCall,sigmaPut
1300,381.9,0.05,0.0821917808219178,0.005,1685.39,0.339647,0.325895
1325,356.9,0.05,0.0821917808219178,0.005,1685.39,0.315952,0.310529
1350,332,0.05,0.0821917808219178,0.005,1685.39,0.309745,0.293767
1375,307.1,0.2,0.0821917808219178,0.005,1685.39,0.29787,0.287178
1400,282.2,0.2,0.0821917808219178,0.005,1685.39,0.282816,0.267091
1410,272.2,0.25,0.0821917808219178,0.005,1685.39,0.276921,0.263111
1420,262.3,0.3,0.0821917808219178,0.005,1685.39,0.263262,0.258339
1425,257.3,0.35,0.0821917808219178,0.005,1685.39,0.268926,0.257724
1430,252.3,0.35,0.0821917808219178,0.005,1685.39,0.263931,0.252938
1440,242.4,0.4,0.0821917808219178,0.005,1685.39,0.250815,0.248738
1450,232.5,0.5,0.0821917808219178,0.005,1685.39,0.254761,0.243736
1460,222.6,0.55,0.0821917808219178,0.005,1685.39,0.242115,0.238087
1470,212.7,0.65,0.0821917808219178,0.005,1685.39,0.236592,0.233085
1475,207.7,0.7,0.0821917808219178,0.005,1685.39,0.233599,0.230314
1480,202.8,0.75,0.0821917808219178,0.005,1685.39,0.23616,0.227383
1490,192.9,0.9,0.0821917808219178,0.005,1685.39,0.225607,0.222954
1500,183.1,1.05,0.0821917808219178,0.005,1685.39,0.224477,0.217633
1505,178.1,1.1,0.0821917808219178,0.005,1685.39,0.21611,0.214689
1510,173.2,1.2,0.0821917808219178,0.005,1685.39,0.213611,0.211576
1515,168.3,1.3,0.0821917808219178,0.005,1685.39,0.210889,0.208993
1520,163.4,1.4,0.0821917808219178,0.005,1685.39,0.207962,0.206191
1525,158.6,1.5,0.0821917808219178,0.005,1685.39,0.206025,0.203188
1530,153.7,1.6,0.0821917808219178,0.005,1685.39,0.205936,0.200574
1535,148.8,1.75,0.0821917808219178,0.005,1685.39,0.200216,0.198262
1540,144,1.9,0.0821917808219178,0.005,1685.39,0.199438,0.195168
1545,139.1,2.1,0.0821917808219178,0.005,1685.39,0.196375,0.192831
1550,134.3,2.2,0.0821917808219178,0.005,1685.39,0.193959,0.189307
1555,129.5,2.45,0.0821917808219178,0.005,1685.39,0.191254,0.187313
1560,124.7,2.65,0.0821917808219178,0.005,1685.39,0.188283,0.184575
1565,119.9,2.85,0.0821917808219178,0.005,1685.39,0.185065,0.182312
1570,115.1,3.1,0.0821917808219178,0.005,1685.39,0.181616,0.179365
1575,110.4,3.3,0.0821917808219178,0.005,1685.39,0.179245,0.17648
1580,105.7,3.6,0.0821917808219178,0.005,1685.39,0.176531,0.173309
1585,101,3.9,0.0821917808219178,0.005,1685.39,0.1735,0.171052
1590,96.6,4.3,0.0821917808219178,0.005,1685.39,0.171803,0.168415
1595,92,4.7,0.0821917808219178,0.005,1685.39,0.169141,0.165951
1600,87.2,5.1,0.0821917808219178,0.005,1685.39,0.164165,0.163101
1605,82.7,5.6,0.0821917808219178,0.005,1685.39,0.161825,0.16036
1610,78.4,6,0.0821917808219178,0.005,1685.39,0.159934,0.157232
1615,73.9,6.5,0.0821917808219178,0.005,1685.39,0.156721,0.15458
1620,69.6,7.2,0.0821917808219178,0.005,1685.39,0.154316,0.152293
1625,65.2,7.9,0.0821917808219178,0.005,1685.39,0.151436,0.149894
1630,60.9,8.6,0.0821917808219178,0.005,1685.39,0.148461,0.146996
1635,56.7,9.3,0.0821917808219178,0.005,1685.39,0.145703,0.143964
1640,52.7,10.2,0.0821917808219178,0.005,1685.39,0.143743,0.141428
1645,48.6,11.1,0.0821917808219178,0.005,1685.39,0.140233,0.138645
1650,44.9,12.2,0.0821917808219178,0.005,1685.39,0.138634,0.136201
1655,40.9,13.4,0.0821917808219178,0.005,1685.39,0.134885,0.133418
1660,37.3,14.6,0.0821917808219178,0.005,1685.39,0.132547,0.130559
1665,33.7,16,0.0821917808219178,0.005,1685.39,0.129505,0.12785
1670,30.3,17.5,0.0821917808219178,0.005,1685.39,0.126836,0.124948
1675,27,19.1,0.0821917808219178,0.005,1685.39,0.124192,0.122071
1680,23.8,20.9,0.0821917808219178,0.005,1685.39,0.121514,0.119416
1685,21,22.8,0.0821917808219178,0.005,1685.39,0.118744,0.11639
1690,18.2,25,0.0821917808219178,0.005,1685.39,0.115024,0.113723
1695,15.6,27.4,0.0821917808219178,0.005,1685.39,0.112412,0.111093
1700,13.2,30,0.0821917808219178,0.005,1685.39,0.109801,0.108728
1705,11.1,32.8,0.0821917808219178,0.005,1685.39,0.107434,0.106901
1710,9.2,35.8,0.0821917808219178,0.005,1685.39,0.105313,0.104453
1715,7.5,39,0.0821917808219178,0.005,1685.39,0.103151,0.101912
1720,6.1,42.5,0.0821917808219178,0.005,1685.39,0.101301,0.101019
1725,4.8,46.3,0.0821917808219178,0.005,1685.39,0.099506,0.098814
1730,3.8,50,0.0821917808219178,0.005,1685.39,0.09829,0.096657
1735,3,54.1,0.0821917808219178,0.005,1685.39,0.096535,0.093665
1740,2.3,58.4,0.0821917808219178,0.005,1685.39,0.095268,0.09253
1745,1.75,62.8,0.0821917808219178,0.005,1685.39,0.094612,0.091759
1750,1.3,67.4,0.0821917808219178,0.005,1685.39,0.093591,0.091004
1755,0.95,72,0.0821917808219178,0.005,1685.39,0.092704,0.088498
1760,0.65,76.8,0.0821917808219178,0.005,1685.39,0.091793,0.088495
1765,0.5,81.6,0.0821917808219178,0.005,1685.39,0.091919,0.087027
1770,0.35,86.4,0.0821917808219178,0.005,1685.39,0.091613,0.082774
1775,0.25,91.3,0.0821917808219178,0.005,1685.39,0.091946,0.080021
1780,0.15,96.3,0.0821917808219178,0.005,1685.39,0.091072,0.078545
